Leader Name	Nation Name	Alliance	Score
Benito Adolff	Vera Cruz	Atlantis	166.94
iSorrowProductions	iSorrowProductions	None	63.41
CalePepper	New Louisiana	None	68.25
Mike I	Mike Republic	None	102.91
Reddington	Curadise	None	84.41
rainbow	united nation of cats	Spartan Brotherhood	1,747.29
Santrlayt	Zalox	None	76.89
Zoe Golubev	Anadyrskiy	None	174.07
Sam Unjabar	Samilvania	None	63.46
Shreyansh	Indli	Umbrella Corporation	1,853.95
Rurhfh	Urur	None	110.57
Karl Vorbeck	Segreti	None	285.60
Smirnoff Alexi	USSR Russia	None	18.67
Juan Espinosa Crespo	Frilandia	United Alliance for Freedom	63.50
Ras Montrayne	Tyrrian Republic	None	535.95
Loop	The Unified territories	None	75.50
Mateo Karki	United States of Felencia	None	56.87
Satana	Satanist Nation	None	337.46
Dessant	Deshalb	None	50.50
Jan	TheBig0tt0	Si Hong	678.15
Zaman II	Uponda	None	58.70
Hakurei Reimu	Gensoukyou	Dark Brotherhood	1,791.25
Raymond LeBlanc	Republic of Quebec	None	75.50
Alias	The Empire Of Berun	None	50.50
Wolfe Tonne	CelticTiger	None	71.25
Felicio	Facita	The North Atlantic Empire	953.74
The Great Khali	Vormark	Schrute Farms	1,476.00
Tai Nguyen	Viet Minh	None	234.46
Oduduwa	Yorubaland	None	163.43
Chukwudi	Dealtran	None	100.75
Gartland	Kingdom of Gaia	None	92.91
Vichy	Valois	None	50.50
Owain Glyndwr	Cymru	None	50.75
The goat	Goat	None	55.63
Matthew J Ali	Independent Land of Crudyn	None	101.80
Jack mac	Mac island	None	50.50
Iscariot	Komishanka	None	155.95
Senor Adam Hilter	The Fouth Reich	None	50.28
Numantis	Eulalia	None	164.37
Robert Doff	United States of Alderia	None	58.25
Barry Smellon	The_United_States_Of_America	None	89.71
Korey Lewis	Moderate States of America	Camelot	1,151.20
Big Man Tyrone	Meme Republic of Kekistan	None	50.50
floofman	floof	CLOVER KINGDOM	219.46
Markuss Ozolins	Vidzeme	None	65.75
Oaylan	Thedo	None	124.83
Alma Corro	Ledivia	None	115.17
Douglas Yeetmore	Zagle	None	342.79
Sokway Ar Mada	Keygoung	Demacia	141.77
Luis the Lion	The Lionheart Federation	None	10.57
Taran	Falyxia	None	261.11
Cobra Commander	Cobra Organization	Farkistan	1,138.63
General cleaver	Voidland	Cerberus	90.50
Matthe	Havea	None	50.50
Chloe	Anistasia	None	63.50
James steven	Commonwealth of FNG	None	167.43
Frederick XIV	Hiendufin	None	53.00
Alexander Romanov	United Russia	None	69.05
Zero	Kriegia	None	68.44
Christian Delgadillo	United States of Oceania	None	18.23
Husnain	Republic of islamabad	None	65.50
Holden Cross	Michigan	The United States of America	874.71
Chunjee	Stay Hatin	None	54.06
Monito Bessobussoli	Aghte Pumarkullesistan	None	65.67
Steva Zivkovic	Steva	None	11.70
Ata	Socialist Republic of Turkey	None	250.66
Zakaria Al-Namikaze	Ummayad Caliphate	None	50.50
bell	CSA in ep	None	122.71
Josh Evans	Highnswaftz	None	56.15
George II	Cyprus Republic	None	446.07
Wilson Greenwood	Patria	Cerberus	272.50
Osfarno Ossit II	Aguopa	None	63.50
Jooj	Maranhao	None	71.00
Robinson	Paradise	Camelot	2,070.25
Wilhelm VII H	Kriegsreich	None	239.66
Eri	Anastas	None	132.57
Narendra modii	Indian fadration	None	50.50
Andrew Pryce	Osgilead	The Blind Eye	649.37
Valeria Stonewells	Revived American Republic	None	50.50
Rainers	Lotva	None	107.07
Dusan silni	Serbia world	None	105.74
Mitch Walther	Abita	None	68.00
Pascal Santiago	Saint George	None	127.31
toondeath	Stelaris	None	55.50
Corona	Coronavirus	Psi	138.25
Doctor	Communist United States	None	406.72
Alessia Cuptor	Empire of Cyrodiil	None	109.84
bellre	New Alexandria Montana	None	396.96
Night Hunter	Dawn of Rednecks	None	2,098.05
Khalev Thornbeard	Gotica	None	68.50
sarita	Sin Fronteras	None	58.60
Ronald Trumpet	Facility	DevTech	100.75
Jo po	Republic of Cobh	The Immortals	681.12
Francisco I	Kingdom of Portugal	None	58.50
Marcus Antonio	HummingBird Isles	None	50.50
Pattel	Aldoria	None	80.39
Saezel	Ossus	None	312.79
Adam PacRat	Houstonstan	None	61.35
Ferrok	The Iron Legion	None	1,118.44
Corinthia	Rostya	None	245.24
Shawn Mendingo	Coast of Glory	None	323.06
Bosako	Salwen	None	83.22
Kenneth17	Union of South Slavic Orthod	None	316.24
Andrew Cleveland	Westland Mansion	None	295.07
Vengeous	Barony	None	75.25
joseph modi	the rising soviet india	Si Hong	1,655.51
Anatoly Anatolievich	Slavsya	None	153.85
Oaks	Paystal	None	304.44
Mohamad Chouman	Nouveau Liban	None	124.81
Adrian I	Natedka	None	63.67
Venrer	Confederation of Mordea	None	408.57
Jake Lee	The Korean Empire	None	483.94
Ramen_IV	Andsland	None	79.01
Juri	Republic Of Tallinn	None	50.50
Chegal Kwang-Min	Jorea	None	58.73
Lothair of Acre	Holy Thruskan Empire	None	455.94
Wolfstein	Hogar de los lobos	None	50.50
Peter I	king	None	151.00
Fleezy	Wealth	None	76.00
653	New Mexico	None	107.46
Hikyengis the tall	New Republic of China	None	284.25
Halexan	Halex New	PAX	824.52
Freddy Kruger	LaLa Land	None	93.85
Erwin Krieger	Norsif	The United Armies	1,965.37
Destruction	Empires	None	271.75
Mehrshad	ISLAMIC REPUBLIC OF IRA	None	103.48
Hadi Shaikh	Kingdom of Shaikh Hadi	None	50.50
Valentino I	The Empire of Maryland	None	50.50
Emirhan Khashoggi	Turkestan	None	127.47
Riley I	Australasian Kingdom	None	80.11
bunnies1978	The Monarchy of Japan	None	50.63
Alatai	Judestaat	None	224.77
Leofyr	Starfel	The Immortals	2,415.86
xcominicado	Xcominicants	None	91.24
Desmond	Republic of rue	None	50.29
Rudolph123	Federation_of_Riga	None	50.75
Benjamin Abraham	Travancore	Code of Honor	63.75
Yaroslav	Kiev Rus	Cerberus	88.75
Rohan 2nd	Maratha empire	None	78.23
Jose Maria Kichi	Gadir	None	58.52
Barlow Platyfish	Codhaven	None	71.00
Serguey Aksyonov	Republic of Crimeia	None	50.50
Sebastian Album	United Federation of Earth	None	2.75
Nando culver	Nando republic	None	146.79
Levi25	Tornado States	None	53.00
Josef Gee	Peoples Republic of Debs	None	456.93
Timmy Anti-vaxxer	Clownsland	None	107.16
Mark Johnson	TheUnited Reichs of Reitzmag	None	50.50
Analashara	Agnipura	None	65.50
Tut	Land of Wakanda	None	50.50
Elriej Araneta	Sarskova	None	58.45
Gionah	Gionahstan	None	94.99
John I Highstone	Highstone	None	61.93
Allam	Allam Caliphate	None	55.75
Raphael Casterly	Casterly	None	82.89
Joseph Steinbach	Confederate State of America	None	121.99
Kalingdor	The Empire of Voltairia	None	243.81
ME05IDK	some random place	None	75.75
LKennedy	Arckadia	None	203.49
Kenneth170806	Grand Duchy of Polish	None	307.12
Frezo	Confederation Reformed	None	102.99
Rav3nG0D	Diamond Order	None	65.50
Dino Joe	Muertes Archipelago	The Immortals	3,232.50
Toasty	The Best Toasties	None	258.46
Matthew Edward Leech	United Feration of Britain	None	64.26
Voraxgetorix	Arkeltia	None	58.50
Richard M Nixon	Federal State of America	None	73.76
JOjojOJOjo	United Health Care	None	71.55
Nungshi	Kingdom of Arryn	None	65.50
Cyrus	Celestia	None	64.25
Navid	Karnia	The United Armies	1,373.43
Sialing	Nan Sarunai	Schrute Farms	2,583.20
Bolu jatcate	Tamilia	None	61.03
Rogue Groove	Pirate bay	Empyrea	93.28
Saint	KOBK	None	50.50
Adra	Moldavia	None	108.30
IraT	United Together	None	245.05
Adi	Capitalists	None	205.64
Tony Montana	Taco Bell	None	50.50
Axefennel	Nolvynia	None	100.75
King R	The Real New York City	None	206.76
Edward Elric	BigMen	None	83.00
Coen J Buck	Isle Of Emerald	UNITED NATIONS	83.95
GeneralB	American Empire	Brotherhood of the Clouds	1,390.80
Schartzmuger	Perang	None	83.25
Little Potato	United Foods Nation	None	479.82
Arik	United States Of Arik	None	432.00
Yep	Just looking	None	100.75
Sleepstar	Sleepstar	None	50.50
Ryan Christopher I	Countian Kingdom	None	77.75
Imperial Seal	Astral	None	68.50
Vladius Drake	Pax et Libertus Confederacy	The Immortals	2,453.45
Doctor whooves	Gallopfrey	None	140.14
Igor Cec	Costa Iblic	The Immortals	1,349.78
Aurora Borealis	Rem Publicam Populi Scriptor	None	64.04
Sampson	The Holy Land	None	50.50
Ligmanuhs	Republic of Sigma	None	226.29
Anatoliy	LuganskRepablik	The Socialist State Alliance	236.42
Savageness	North German Confederation	None	77.68
charles sheldon3	new united state of amearca	None	480.32
Emilio De Cartagena	North Puerto Rico	United Socialist Nations	1,160.12
Bayami	Union of Karangua	None	140.71
Jknox	American Remains	None	265.68
Cameron Cooke	Pelraid	None	94.26
Terrence Portelli	Malta-Atlantis	The Immortals	2,340.75
Julio	Neuquen	The Crimson Entente	345.59
Mosh	MoshCizdom	None	203.16
Tut tut	HoesMad	The Pyramid Corporation	198.74
Nathaniel Roosevelt	Lonbia	None	58.25
Papa oompsie	Dictatorship of a noob	None	403.31
Blackbird	Wonderland	The Commonwealth	4,741.25
Katherine	CONSTANTINOVA	None	59.79
Maupin	United States Confederation	None	50.50
Noobkiller6369	Noobkiller3669	None	100.41
David Coombs II	Osmana	Vanguard	75.00
Turtles	Turtles nation	Deathly Hallows	1,149.06
Martine	Castle	Nordea	27.06
Ray	Xhunterx	Camelot	2,357.50
Squizy	Swisser Formation	None	50.50
Teng PingFan	WenHua	None	163.07
Monarch of Lag	Lagarus	None	257.84
Big Daddy Xi	Xi Jin Ping	None	93.71
Darth Sidious	First Galactic Empire	None	313.89
Michael Cytryn	Desnopia	None	50.50
Damian Czerwonka	Polish Rebublic	European Union	53.00
Ingvard	Stavenhoul	None	128.52
Ornaga	Eedpakten	None	133.81
Hellrider	Hellriders MN	None	450.20
Wessen Ratschold	Namussel	None	68.25
Zaria Fine	West Yeager	None	124.88
Jaehaerys II	The Westerosi Empire	None	102.25
Zbhatt	zachistan	None	130.46
MrJimmyD	Liberiano	None	466.87
Keenanuis	Zicona	None	126.61
Husky	Agrad	None	230.52
Blue_Ninja25	Dominican_Republic	None	50.50
Xbhshdhrhdh	Dhhevegehs	None	55.75
Krey	Clamatoa	None	119.90
Mustafa	Sankofa	None	216.19
Slapple	Slapple Land	None	50.50
Sussen	Soviet Belussa	The Red Banner	926.34
Lechu	Volkersa	None	50.50
Kodiak	Bearhaven	None	17.92
Mohammed Amoudi	New Almoudi Arabia	None	182.08
Muhammad Aqmal	West Brooklands	None	116.93
Personname	Nation Socialist Republic	None	50.50
Swami Ramakrishna	Mamdouhlia	None	50.50
Mehmet III	New Ottoman Lands	None	85.18
Useless	Assyria	None	176.73
Abdallah B Abdullahi	Soomaaliya	None	58.86
Wilks	United Sation	None	102.06
Normandy	Earldom of Normandy	None	366.01
Malcolm Watchman	Cassiopeia	None	58.44
B l a d i m i r	R u s s i a	None	100.75
Michael Laraby	Bad River	None	108.75
ICEBADGERR	Africasia	None	55.50
Shal Julius	Puerto Rican empire	None	156.91
John ICDIX	Holy Prosperian Empire	None	5.50
olajide	Ubekistan	None	289.74
Sheikh Annan	Republic of Wakanda	None	100.75
Jeordam Casalain	Elennarda	None	68.00
Tylerm	Komiland	None	58.25
Tahvo Jokinen	Therlica	None	315.55
Vaktus	Vaktovian Empire	None	149.64
James Ranaldi II	Rwanda	The Lost Empire	1,417.92
noobplayer5421	Imperio de Vinland	None	50.50
Fitim Sulejmani	Planet Earth	None	56.98
Rune Andersen	Dawnstar	None	50.50
Thomas Vanderbilt	Zealantica	None	61.31
Anthony Bergenstini	Trimador-Koratini	None	50.50
Zenon Paczkowski	Boland	None	182.79
Bruner	Optimus	None	79.14
Mandolhi Solanh	Magnify	None	50.50
AllenMarquis	The United Kingdom Britain	None	50.50
Rhys Chisholm	Yggdrasil prime	None	260.29
Dimitris Koutsoumpa	Kappa Kappa Epsilon	None	59.92
Chri thomas	Kanerland	None	88.82
Gotuvaske	Osakevaskos	None	79.39
Dictator Kyle	Gingerville	None	55.18
Allex	Divine Wind	None	58.72
Socrates II	Carthaginian Empire	The Immortals	2,015.15
Ole-dea	Kingdom of Dryl	None	30.25
Stanjin	Republic of Serbs	None	50.28
Ayla	Mirrormere	None	82.50
Louis 5	Molibdenhia	None	50.50
Casey Ray	Dellenwood	None	96.75
Sardonic	New Sardovia	Bird Weed	1,022.65
Fong Goekem	The Republic of Tavania	None	100.75
Ancapicus	Ancapland	Atlantis	523.22
Harris	Yeet Land	None	63.93
Biggest peen	Peen	None	70.95
AmericanIdiot	United States of-America	The United States of America	232.35
SirDaniel	Intelglookia	Pantheon	1,757.00
Apinago	Andrilla	None	112.83
Brayden Mcloughly	Alstrotzka	None	85.28
AdomJersey	Flower Coast	None	58.48
Domisious	Jurdain	None	68.25
leaderx	xxxcountry	None	255.75
Jo zapper	Bigmics	None	56.59
Seavel	Seavel Country	None	258.53
Witherskella10	McDonalds Corporation	Golden Phoenix Coalition	1,266.50
Seraphiel Maelstrom	Wilhelminia Federation	None	191.04
Edward of Laurentia	Annapolis	None	365.19
Schwabel	Schwabel	None	50.50
Neapor	Aporia	None	129.91
Belph	Federal Union of Belphexion	None	50.50
Muhsin Abdix	Mava	None	50.50
konstantin	the Republic of France	None	83.37
of Gwales	Gwales	None	53.00
Alizar Takigawa	Khazia	None	286.65
Sergi Mavaleia	Marnoua	None	258.55
Galloton	Landia	None	199.62
Pires	Pires na Baliza	None	317.16
Larya Mayrbekov	Laika	None	259.09
ConJackson	Ginger Union	None	73.25
SkylerXD	Singaporean Empire	None	50.50
Moose Hole	North Fartica	Farkistan	3,009.76
Jesse	New South Texas	None	52.60
Mashiro Saki	Gunma	None	114.27
Blood John The Red	Crimson Reign	None	71.16
EKTOP APXAIKOS	ELLAS	None	358.51
mark the 3rd	suck the mop	None	50.50
Laughery	Hogan	Horsemen	1,407.12
Seilorks	acren	None	10.73
KevinBaconBurger	WhatIsGoingOnHere	None	426.63
Max der Zion	Reich der Mossad	None	83.50
Matsu	Smithbitch	None	248.07
Cristos Birken	Cristonia	None	50.50
Joe Kelly	Glaithon	One is the loneliest number	104.48
MacThomas	Cascadnia	None	71.00
Ludvig Pedersen	The Bavarian Reich	None	189.79
Koozel	Commando Nation	None	53.00
oisin	kerry	None	50.50
Basille	Vralitius	None	100.04
Emmanuel Wamba	Wambilia	None	84.15
Gespenst	Gefangnis	None	64.67
Pewds	Broland	None	196.58
Esteban Chehuaicura	Wallmapu	None	65.53
Beydor	Yodurinna	None	50.50
Jarek Skrzypczak	Wolnesk	None	254.16
Brady Swihart	Jus Peo	None	105.45
Guderian Shiro	Rosohna	None	610.04
Taco_	Theo	None	232.94
Mekhi Aden Brewster	Eritura	None	50.50
Metwedo	Redondo	None	250.06
Nachos	Tori Nabi	None	462.78
Sasha Braginski	Kingdom of Siberia	None	55.20
Katsuko	Kemonomica	None	708.46
Dylan Cook	Dylnitia	None	50.50
Aurelius Von Cailler	The United Federation of Man	None	256.43
Diarmid	US America	None	141.86
Eamonn	EamonnVille	None	138.97
Ding Alling	Searcey	None	122.71
ColdWater	White Earth	Spartan Brotherhood	1,100.59
muffin	meme country	None	59.00
The Great Emperor	Laginstan	Communist Nations of Orbis	120.05
Pence	World Empire	United Alliance for Freedom	565.93
Marc Urgell	Regne Federal de Tartania	None	103.33
Genontes	Daraen	None	333.52
Lovin Lupus	Orinkia	None	244.22
Chris Vogel	Big Red Country	None	185.73
Enea	Caraibi	None	58.76
Lionel Messi	Santos Salvador	None	718.21
Altari	Dawnheaven	None	504.57
Lukaz Jakozki	Karonustum	None	66.21
Wulfric Lile	United Terran Confederate	The Immortals	1,312.95
Cooly	The Dolow Empire	None	65.08
Jazzylyn	Danceteria	None	60.63
Sir Bacon Bits	Greater Syria	None	68.25
Hussony	Karana	None	58.50
Macklin	Royesland	None	183.57
Curo	The Jeffsist Empire	None	65.50
Wilhem XXII	Valitica	None	65.59
Kirbypixel	Pixelation	None	107.39
u like jazz	schlattco	None	61.77
Eneia	Hawai	None	95.53
Keylan Washington	Keyzania	None	191.00
Jeffy	United Memes of America	None	92.43
Barker	Greater Britain	None	480.01
Foppen	Hollandia	Reichspakt	356.00
Sizz	The United Aurios	None	197.19
Fred Longview	The Free Land of Gull	None	603.06
Daruschka	Germanisches Imperium	The Imperium	1,587.24
Shivaji Maharaj	Bhaarat	None	78.00
Josefumi Kujo	Jostaria	None	50.50
RefleX	Celais	The Immortals	1,731.22
Brenton Harrison Tar	St Tarrant	None	151.01
Wruggs	Wylaisia	None	14.65
Brianscott	Rigalie	None	118.69
President Taylor	United States of American	None	55.50
Adeleide	Asselix	None	100.75
Alphonse Ashcraft	The Oixaxis Order	None	50.50
Raseri Jernbrider	Valelock	None	213.91
Demitri	Soviet Popular State	None	56.78
Ontarlo	Tatolindana	None	357.55
Flukart	Lith	None	56.00
Christian Grech	Grechia	None	152.05
Dominick	bladehq	None	132.28
Janelie	Republic of Jena	None	225.61
Ryan Dellinger	Republic of Montana	None	105.41
Sigward	The Teutonic Order	Si Hong	1,701.38
Sieg de van Fulchen	Krinrin	None	203.51
Rokaar	PikaRika	None	4.08
Montez Klah	Navajo Nation	None	203.22
Da Bacha	BachaLand	None	206.88
STAB	Black Stone	None	461.45
Nuura	Nuura	Kingsglaive	250.87
hsumit	hsumit	The Immortals	370.41
Andrew Vorhee	Saltland	None	280.63
Evansc	SovietsEvan	None	8.89
Depax	Zaryho	None	378.17
Nicola Sturgeon	The Celtic Isles	None	64.34
Rozhdestvensky	Hungarian Peoples Republic	None	70.52
Speedy_Gonzalez	New Federation of Paraguay	None	284.01
Laav Khan	The Peoples Khanate of Laav	None	68.84
Ren the Benevolent	Centrist Catboys	None	50.50
Java Wolf	Indoslavokia	Atlantis	494.29
Gorgo	DicHed	None	410.61
Oof VI	The Oof Lands	None	64.38
Owen Sabastian	Wallutopia	None	50.50
Leix	Weedland	None	53.00
48191	Royaleville	The Immortals	1,027.75
Farukh Aini	United Afghanistan	None	53.00
SITW	The Final Cut	None	491.75
Jawad	Paakistan	None	50.50
ashoka	bharatamy	None	68.29
Doley McDolenson	Doleland	The Immortals	1,352.37
Big AG	New Mileitania	None	135.16
Ateo	New bastiatt	None	147.95
Nahuel	Rodecia	None	100.75
Tyrion the Second	Kingdom of the Rock	None	93.34
Robert Mugabe	Peoples republic of England	None	70.61
Sholi	Sholi Land	None	68.18
Shae Akdar	Ari Zona	None	582.29
Halsema	Amsterdamned	None	0.06
Guto Thompson	Greeceti	None	56.97
Uros	Crna Gora	None	66.02
DioBrando	Fitlantis	None	51.56
bootyhole	assland	None	142.59
Panos Koza	Hellenic Kingdom	None	50.50
Nicholl	Lanss	The Imperium	867.50
Linda I	Napolitania	None	50.50
Mr Dilker	Petroleum Core	The Commonwealth	537.41
Isaacsway	New Brunswick	None	72.74
Vacaid	Iraqium United	None	42.12
Burkin	Burkina Republic	None	53.68
Kim Jong VI	Korean Empire EK	None	39.87
Zach D	Republic of americans	None	15.93
Pedro II	Imperio do Brazil	None	50.50
Goodwin	Leitrim	None	63.13
Gandhi	Allahu Akbar	None	151.14
KirbyWGlasses	Scamdinavia	Intergalactic Space Federation	1,469.94
Miley Cyrus I	Miley Cyrus Land	None	55.67
Rapax	Opium	None	197.38
Tom Vll	Ryeland	NATO	129.03
Konstanty	Podlasie-Polesie	None	100.08
Lado Finkel	Tonado	None	50.50
Frosty2k	Greenwood	None	125.15
Majora	Mardonia	United Alliance for Freedom	128.50
Gorgon	Nuceria	None	71.43
Andrzej Duda	Poland Republic	None	91.66
Petitek	Misiaczkowo	None	50.50
King hami 9th	Greenlandlaw	None	65.50
Starlight Gaze	Kingdom of Sky and Moon	None	101.01
Harrison the Great	Flopdania	None	68.37
Emperor Willard	Kellytopia	None	178.13
Jano Arthur	Natal	None	93.74
Richi Rich	New Rich Country	None	65.75
Jacob Falkenstein	Liberland	None	53.00
Sully 765	Republic of Crosshaven	None	248.43
Jammel Baggria	New Baggaria	None	50.50
Palmer	Austandia	None	50.50
Noah Martin	good country	None	50.50
Bjorn Herskerson	Nye Norge	None	82.35
Vann	Kaliska	None	53.00
sweetlemon	Serbian Kingdom	None	50.50
Ruiz	Mexicoo	Federation of Commerce States	1,586.57
Lad	We have cancer	None	200.37
Jared Hogan	Jareds Land	None	50.50
zhall	eminem	None	50.50
Jarack OBronson	Steliah	None	57.35
Golatino	Londinum	None	61.53
Lucas Griffin	The empire of rhineland	None	67.03
Plageius	Apokolips	The Immortals	1,817.80
Dizzle	Oppians	None	58.77
Walter Irons	Imperial Federation of Ferra	Unforgiven Legion	2,070.00
Rimardo I	Balticonia	The United Armies	1,380.44
Meep 2	Ey im back	None	412.03
Varya	Exodus Democratic Republic	Atlantis	388.63
Saxton Hale	Mann Co	None	198.73
Aston Marton	The Untied States of America	None	76.70
Franz Ferdinan	The Austria-Hungarian Empire	None	50.50
jdksbvsuj	mcxn kjcxbh hxuc b	None	50.50
Matthew mcdonald	High tory Britain	None	137.43
Enclave President	Western Enclave	None	152.20
Tilden Payne	Lemtovia	None	107.32
MrRomantic69	Oaken	None	50.50
Azbadar XI	Azbadar	None	242.06
Derek von Stud	Archduchy of Gallicia	None	115.33
Benice Juliare	Blegiua	None	76.25
Hermann	Neu Deutschland	None	50.14
Szent Poniatowski I	Polish-Hungarian Union	None	267.35
Bubba Joe	Amurica	Electric Space	304.22
Asclepius	Protestants Flanders	None	56.00
Champion the Great	United Exalted States	None	58.45
Ali Khamenei	Senate of the Iranian People	None	50.50
Saku George	Amuricaz	None	503.70
Diaa	Rusain	None	65.53
Shimasu	Izhura	None	319.51
Bolivar	Bolivaria	None	255.13
tyler lewis	tokio island	None	50.50
Kishor	Tamilan	None	63.43
Maximus Decimus	Archon	None	61.10
Broseph Stalin	Suffering People	None	417.25
Giant Jake	Jakopia	None	116.30
The man	The World	None	172.97
Marie Antoinette	Upperland	None	65.50
McForce	United Provinces of Lowland	League of Democratic Nations	135.76
Adelphi	The Federacy	None	78.16
Theozak	Euthopia	None	50.50
Niya	Kimllo	Spartans	50.50
AbdulHamid	Ottoman Empire Osmanli	The Regiment	1,711.58
The Freshest Boy	The Utopia Paradise	None	535.24
Hugo Chavez	New Cuba	None	50.50
Adriyan	Gorontalo	None	70.05
Bamiko	BMWC	None	50.53
Legacy	Foxvolt	None	50.50
Joseph Oranje	Commonwealth of Hashon	None	264.64
Geni I	Serlanda	None	50.50
Hillary Clinton	California Democrats	None	72.04
Dumnorix	Avernii	None	214.90
Malik	Indiaindia	None	62.26
Fernando Batista	Floridian Empire	None	58.64
Adam Rookton	Samalaye	North Atlantic Treaty Organisation	55.75
Box	Oxel	None	75.50
Alexandru	Hunedoara	None	88.03
Noobles	Noobland	None	50.07
Isowaechter	Askir	None	56.86
Delby	Wunderstein	The Immortals	1,774.37
Kalimedes	Merytocracy of Livington	None	803.13
Torgo	Torgonia	Weebunism	3,135.52
Vittorio Bonetti	Littorio	Weebunism	1,272.93
Nicolau Vespurtino	Niko Empire	None	54.85
JimHalpert	Scranton	None	50.50
Reed omega	Reedvs	None	65.50
Sumi	Meowmeow	None	73.74
DoubleButter	LetterKenny	None	71.50
Hysteria	Valerian Empire	None	681.85
Djalaludin Amay	Hulonthalangi	None	109.66
Stefano Cristiano	South Europe	None	55.25
Anita Pea	crackcocaine town	None	53.00
Max Smithson	Volonska	None	50.50
Xarr	Urbana	None	125.79
Quil	Batavica	None	83.27
Erik Von Kaiser	Rebublic of the Confederacy	None	62.31
John The Joker	California Commonwealth	Rose	1,460.00
Arash	Rhodos	None	61.50
Ethan campbell	Holy Roman kingdom	None	50.50
WickEr0008	Soviet Union 1922	None	106.66
Bigus Dickus	Cooral	None	83.93
Amr Shareef	Darkia	None	50.50
Vlad der Erste	Fabiland-Vladland	None	167.91
Djalaluddin Amay	Sulawesi Darussalam	None	128.12
Jhasim	Lanao	None	103.57
Kaiser WickEr	KaiserReich Germany	None	267.73
The Donald Trump	TrumplandUSA	None	145.66
Dan Yeet	Letvono	None	77.62
Bryan Watson	Republic of south Florida	None	100.75
Eduards	Brownia	None	84.14
Colebbb	Canlend	None	104.92
Jayson	Jaysus	None	78.61
Mathew McConaughey	Bovinia	The Center Of Offbeat Powers	300.05
Seth Mock	The Buffalo Republic	None	14.63
Hideki Tojo	Unified Japan	The Immortals	1,747.00
Levi Stratins	Eastern America	None	75.47
The Infected	Koku	None	324.11
Gustaw Adamik	Polish Socialist Republic	None	50.50
Trojan_X	Marauder	None	111.14
KitCat	Catarea	None	128.80
Josep	Prosecca	None	128.96
Ariel Shelaym	Phoenicia	None	58.50
Matthew Minute	The Minute Republic	None	256.50
Amanda Torres	The Philippines	None	262.97
Tanzil Ibnu Rahman	Gorontalo Darussalam	None	72.89
MajesticL	Majestic	The Enterprise	1,144.55
Ramnug	Rubrin	None	57.50
Sri Sultan	Pasundan	None	50.50
Muhammad Rizal Bagou	Gorontalo Unitary State	None	85.69
Maksuberg	Zubergents	None	79.83
Victoria Hanover	Johansennia	None	187.97
harish	youngistan	None	50.50
Sabrina London	Nezovisimoe Kosovo	Major Leek Baseball	113.33
Kieron	Kingdom of Great Britain	None	154.15
Naanda Sayil	Donetat Islands	None	74.44
Mr Boris Johnson	Great Britainn	Schrute Farms	1,092.29
Theophilos	Aeternia	None	225.55
La Boss	Sacro V Impero	None	104.27
Tang San	Imperial Nation	None	50.50
Leopold Parr	Ethnostate of Olmar	None	197.63
Tsu	Corgiland	SCP Foundation	150.51
Jermy Bentham	Zetland	None	80.53
Jeremy Good	Pakromaniastan	None	151.07
Vostok Adolf	Antartica Rebels	None	31.77
Douglass Youngman	Afdabia	The Red Banner	732.58
Claydon Trecree	Corventine	None	221.14
Heinrich Schmidt	Uberdeutschland	None	130.94
Wiccan High Priest	Wiccan world	None	142.96
Maka Killara	Carikalinga	None	223.85
Makela	Bench	Camelot	2,890.00
Archmaester	Kalingland	None	156.09
Yen Ho	Rai Shang	None	546.67
Macklenn Stephens	Macklennsberg	None	56.13
Corrin	Xayahan	None	58.60
Semion Mogilevich	Nefaria	None	160.61
Deanacle	Clarksville	NATO	223.70
Jo Arkuckle	Propane Land	None	50.50
siraman	Bulawayo	None	71.75
Jonathan Alvarado	Nicaraguan Republic	None	60.75
Jude	Judes Country	None	631.10
Collin Oconner	The Creek Republic	None	148.52
Imaqi Syria	Sussanin Empire	None	31.31
Alan Smith	Kingdoms of Mooreton	None	72.40
Mameran Caxwell	Nadolsk	The Immortals	1,066.26
Stickiest of muffinz	Sticky muffinz	None	75.34
Roman Angelo	United Nation of France	None	111.97
zamtiago	Slopkin	None	50.50
Snape	Neko	None	365.99
UpdatingLeader	Gamerlands	None	145.36
Angel-San	Union Mexica	None	137.60
Daniel Zazzali	eleftheria	None	88.53
Samual	Donimica	None	68.72
Tawuani Visobi	Timmakam	Si Hong	737.98
Cooper Berry	Toro Kingdom	None	124.07
Sumeeth	Andhrapradesh	None	50.50
First Bite	Cold Spartans	None	267.55
Vladimir Makarov	Kingfish	None	69.09
Agung Setiawan	Republic of Indonesia	None	170.55
Titus Mead	Dawnrise	None	104.37
Gorbichev	The Red Army	None	50.50
Germark	United germark	None	108.91
ROBUX	High Ground	None	348.84
Muhammad Ali Jinnah	Gujranwala	None	140.73
Eduardo de Carvalho	Eduardian	None	255.61
Card	Grand Colombia	Pantheon	1,628.41
Dasquigs	Dasland	None	63.79
hihohe	Aztec Socialist Union	None	68.66
Shloimy	Hodgeland	None	218.53
Z25	Bizak	The Immortals	603.69
gippy	please run	None	50.50
Saksham	Aryavarta	None	50.50
Dr James Wilson	The Wilson Empire	The Immortals	1,994.99
Jellico	JellicoInc	SCP Foundation	214.10
egg	eggy	None	568.87
